,animal_id,movement_type,time,bug_speed,bug_type,bug_size,strike_id,exit_hole,strike_x,strike_y,arena,trial_id,proj_strike,is_hit,miss_distance,proj_bug_x,day,proj_strike_x,proj_strike_y
1,PV42,jump_up,2023-05-24 10:04:03.744,4.046847650538435,cockroach,143,3094,left,1234.0,801.0,msi-regev,11954,"[-77.0, -4.0]",True,1.3774277267681299,-60.0,2023-05-24,-1.3755729166666666,-4.0
3,PV42,random_low_horizontal,2023-05-03 10:01:27.877,4.110197502358217,cockroach,157,117,right,596.0,853.0,msi-regev,7541,"[-68.0, 56.0]",True,1.5737065483587536,-44.0,2023-05-03,-1.2147916666666667,56.0
5,PV42,jump_up,2023-05-09 18:01:23.329,3.9756092128636134,cockroach,151,122,left,539.0,887.0,msi-regev,6529,"[-63.0, -7.0]",True,1.1323947769097884,-56.0,2023-05-09,-1.12546875,-7.0
6,PV42,jump_up,2023-05-09 18:01:51.603,4.0503325136575725,cockroach,157,123,left,609.0,914.0,msi-regev,6543,"[-61.0, -34.0]",True,1.247582485382911,-52.0,2023-05-09,-1.0897395833333332,-34.0
7,PV42,random_low_horizontal,2023-04-28 17:31:35.554,,cockroach,159,124,right,874.0,860.0,msi-regev,7033,,True,1.5297967496241422,,2023-04-28,,
13,PV42,random_low_horizontal,2023-05-04 10:02:06.462,2.082436098462805,cockroach,159,139,right,787.0,825.0,msi-regev,7583,"[-45.0, 28.0]",True,0.9468229166666666,-24.0,2023-05-04,-0.8039062499999999,28.0
18,PV42,random_low_horizontal,2023-05-04 09:17:46.553,7.338623235508195,cockroach,151,121,left,1384.0,796.0,msi-regev,7574,"[-123.0, 1.0]",False,2.197416369057475,-120.0,2023-05-04,-2.19734375,1.0
22,PV42,random_low_horizontal,2023-05-04 10:02:32.647,2.0848782059110413,cockroach,146,140,left,796.0,819.0,msi-regev,7584,"[-31.0, -22.0]",True,0.679089186291733,-32.0,2023-05-04,-0.5538020833333334,-22.0
23,PV42,jump_up,2023-05-10 10:01:23.647,,cockroach,146,142,left,419.0,793.0,msi-regev,6663,,True,0.9673304844049048,,2023-05-10,,
24,PV42,random_low_horizontal,2023-05-03 14:01:48.095,8.381900898780156,cockroach,146,154,right,1428.0,827.0,msi-regev,7553,"[-124.0, 30.0]",False,2.2791175844996885,-136.0,2023-05-03,-2.2152083333333334,30.0
25,PV42,random_low_horizontal,2023-05-03 14:02:07.452,8.098207009307387,cockroach,149,155,right,1444.0,843.0,msi-regev,7554,"[-100.0, 46.0]",False,2.0970920802726716,-112.0,2023-05-03,-1.7864583333333333,46.0
26,PV42,random_low_horizontal,2023-04-29 09:01:30.528,7.624237160515831,cockroach,147,170,left,1375.0,826.0,msi-regev,7112,"[-138.0, -29.0]",False,2.519159635600681,-128.0,2023-04-29,-2.4653125,-29.0
27,PV42,random_low_horizontal,2023-04-29 09:01:30.960,7.9895246812843475,cockroach,147,171,left,1185.0,824.0,msi-regev,7112,"[-156.0, -27.0]",False,2.6875957957934893,-336.0,2023-04-29,-2.7868749999999998,-27.0
28,PV42,random_low_horizontal,2023-04-29 09:01:31.501,8.218631618345205,cockroach,147,172,left,927.0,820.0,msi-regev,7112,"[-154.0, -23.0]",False,2.781659616469402,-88.0,2023-04-29,-2.751145833333333,-23.0
29,PV42,random_low_horizontal,2023-04-29 09:01:32.598,8.423793958386435,cockroach,147,174,left,396.0,822.0,msi-regev,7112,"[-151.00000000000003, -25.0]",False,2.734273546729005,-96.00000000000003,2023-04-29,-2.697552083333334,-25.0
30,PV42,random_low_horizontal,2023-05-04 12:01:45.004,6.322617119945562,cockroach,156,179,left,635.0,820.0,msi-regev,7603,"[-70.0, -23.0]",True,1.3162937287057304,-90.0,2023-05-04,-1.2505208333333333,-23.0
32,PV42,random_low_horizontal,2023-05-04 11:01:04.575,3.8648677071083126,cockroach,150,156,left,1441.0,820.0,msi-regev,7591,"[-56.0, -22.999999999999886]",True,1.0815083599185835,-48.0,2023-05-04,-1.0004166666666667,-22.999999999999886
34,PV42,random_low_horizontal,2023-05-04 11:02:54.938,4.168355519122927,cockroach,158,158,right,788.0,819.0,msi-regev,7596,"[-68.0, 22.0]",True,1.3449551806413578,-56.0,2023-05-04,-1.2147916666666667,22.0
35,PV42,random_low_horizontal,2023-05-04 11:03:37.763,4.080448771699845,cockroach,143,159,right,691.0,799.0,msi-regev,7598,"[-61.0, 2.0]",True,1.0903251500512134,-48.0,2023-05-04,-1.0897395833333332,2.0
36,PV42,random_low_horizontal,2023-04-29 09:02:09.783,8.050325385480576,cockroach,152,175,right,894.0,804.0,msi-regev,7114,"[-138.0, 7.0]",False,2.4684820732997546,-112.0,2023-04-29,-2.4653125,7.0
37,PV42,random_low_horizontal,2023-04-29 09:02:10.304,8.235443620721643,cockroach,152,176,right,1135.0,802.0,msi-regev,7114,"[-137.0, 5.0]",False,2.5919041760893693,-72.0,2023-04-29,-2.4474479166666665,5.0
38,PV42,random_low_horizontal,2023-04-29 09:02:10.749,8.313692524740738,cockroach,152,177,right,1350.0,825.0,msi-regev,7114,"[-146.0, 28.0]",False,2.655761239755337,-296.0,2023-04-29,-2.608229166666667,28.0
39,PV42,random_low_horizontal,2023-05-04 12:00:43.239,6.211510437153646,cockroach,158,178,right,902.0,822.0,msi-regev,7600,"[-102.0, 25.0]",True,1.876121496919178,-120.0,2023-05-04,-1.8221875,25.0
40,PV42,random_low_horizontal,2023-04-29 09:01:12.309,8.198121739850519,cockroach,140,169,right,1028.0,818.0,msi-regev,7111,"[-116.0, 21.0]",False,2.1059760121260105,-304.0,2023-04-29,-2.0722916666666666,21.0
41,PV42,random_low_horizontal,2023-04-29 09:01:32.064,8.34457250578027,cockroach,147,173,left,662.0,822.0,msi-regev,7112,"[-161.0, -25.0]",False,2.9106664257320314,-88.0,2023-04-29,-2.8761979166666665,-25.0
43,PV42,random_low_horizontal,2023-05-04 13:02:19.471,8.27715576299753,cockroach,147,197,left,738.0,822.0,msi-regev,7613,"[-125.0, -25.0]",False,2.417600274270855,-144.0,2023-05-04,-2.2330729166666665,-25.0
47,PV42,random_low_horizontal,2023-05-04 14:05:01.330,2.007091270413109,cockroach,153,212,right,1055.0,800.0,msi-regev,7628,"[-35.0, 3.0]",True,0.6275530883433179,-32.0,2023-05-04,-0.6252604166666667,3.0
48,PV42,random_low_horizontal,2023-04-29 12:01:53.983,5.99084912419073,cockroach,157,220,left,708.0,837.0,msi-regev,7146,"[-89.0, -40.0]",True,1.7431476466411133,-78.0,2023-04-29,-1.5899479166666666,-40.0
49,PV42,jump_up,2023-05-10 12:02:44.453,4.009378574446972,cockroach,141,182,left,696.0,791.0,msi-regev,6824,"[-59.0, 6.0]",True,1.059446609602433,-144.0,2023-05-10,-1.0540104166666666,6.0
50,PV42,jump_up,2023-05-10 12:05:29.959,4.140205846471128,cockroach,158,183,left,447.0,815.0,msi-regev,6867,"[-46.0, -18.0]",True,0.8824453206423676,-56.0,2023-05-10,-0.8217708333333333,-18.0
51,PV42,random_low_horizontal,2023-04-29 10:01:42.629,2.0879571230171012,cockroach,155,194,left,1257.0,830.0,msi-regev,7125,"[-38.0, -33.0]",True,0.8991051519857157,-28.0,2023-04-29,-0.6788541666666666,-33.0
52,PV42,random_low_horizontal,2023-05-04 13:01:01.249,7.598519311784002,cockroach,151,196,right,563.0,797.0,msi-regev,7607,"[-125.0, 0.0]",False,2.2330729166666665,-160.0,2023-05-04,-2.2330729166666665,0.0
53,PV42,jump_up,2023-05-10 13:01:19.081,3.803016258043015,cockroach,156,200,left,1541.0,781.0,msi-regev,7794,"[-60.0, 16.0]",True,1.1093316501702475,-52.0,2023-05-10,-1.071875,16.0
54,PV42,jump_up,2023-05-10 13:04:04.565,4.148356008709019,cockroach,150,201,left,370.0,789.0,msi-regev,6893,"[-57.0, 8.0]",True,1.0282615803931767,-48.0,2023-05-10,-1.01828125,8.0
55,PV42,random_low_horizontal,2023-04-29 11:01:47.253,2.0688478556132712,cockroach,154,209,left,696.0,830.0,msi-regev,7135,"[-37.0, -33.0]",True,0.8856942610188553,-30.0,2023-04-29,-0.6609895833333334,-33.0
57,PV42,jump_up,2023-05-10 14:04:59.364,3.991101631038747,cockroach,152,213,left,1085.0,792.0,msi-regev,7805,"[-67.99999999999989, 5.0]",True,1.2180711706811789,-239.9999999999999,2023-05-10,-1.2147916666666647,5.0
59,PV42,random_low_horizontal,2023-05-04 15:02:04.662,2.0254298791859164,cockroach,147,223,right,579.0,793.0,msi-regev,7632,"[-49.0, -4.0]",True,0.8782764070365991,-38.0,2023-05-04,-0.8753645833333333,-4.0
60,PV42,random_low_horizontal,2023-05-04 15:03:45.222,2.0336173505048465,cockroach,153,225,right,705.0,793.0,msi-regev,7636,"[-37.0, -4.0]",True,0.7359254337445594,-30.0,2023-05-04,-0.6609895833333334,-4.0
61,PV42,jump_up,2023-05-10 17:02:42.858,4.110101354578996,cockroach,147,241,left,1127.0,789.0,msi-regev,7830,"[-46.0, 8.0]",True,0.9045902485629275,-36.0,2023-05-10,-0.8217708333333333,8.0
63,PV42,random_low_horizontal,2023-05-04 15:02:53.967,2.0521260617021504,cockroach,158,224,right,494.0,822.0,msi-regev,7634,"[-46.0, 25.0]",True,0.9352924080539561,-28.0,2023-05-04,-0.8217708333333333,25.0
64,PV42,jump_up,2023-05-10 16:05:03.866,4.039801676354543,cockroach,155,226,left,437.0,783.0,msi-regev,7825,"[-80.0, 14.0]",True,1.4508857485326467,-64.0,2023-05-10,-1.4291666666666667,14.0
69,PV42,circle,2023-05-05 09:01:14.271,11.11237337628548,cockroach,154,254,left,1282.0,480.0,msi-regev,7642,"[-225.73157321686585, -22.061742663185328]",False,4.051814457709508,-112.48529960237158,2023-05-05,-4.032600500697135,-22.061742663185328
76,PV42,circle,2023-05-05 09:01:13.505,10.721793051214732,cockroach,154,253,left,927.0,763.0,msi-regev,7642,"[-175.85875440316045, 31.71474188553418]",False,3.1923228820629808,-210.51002501856738,2023-05-05,-3.14164337293146,31.71474188553418
80,PV42,random_low_horizontal,2023-04-29 15:03:58.962,8.341257339151515,cockroach,140,276,left,412.0,824.0,msi-regev,7198,"[-119.0, -27.0]",False,2.3195082208308158,-80.0,2023-04-29,-2.1258854166666667,-27.0
81,PV42,circle,2023-05-05 10:02:53.265,11.237561472411327,cockroach,156,285,left,1100.0,689.0,msi-regev,7648,"[-202.63557635985097, 16.23455496609313]",False,3.631599465840012,-189.12871264818432,2023-05-05,-3.6200001401785875,16.23455496609313
