,bug_type,val,animal_id
0,worm,0.25,PV91
1,cockroach,0.225,PV91
2,green_beetle,0.2125,PV91
3,red_beetle,0.15,PV91
4,spider,0.1125,PV91
5,ant,0.05,PV91
6,worm,0.5,PV163
7,cockroach,0.2625,PV163
8,green_beetle,0.1125,PV163
9,red_beetle,0.1125,PV163
10,spider,0.0125,PV163
11,cockroach,0.275,PV80
12,worm,0.2625,PV80
13,red_beetle,0.175,PV80
14,green_beetle,0.1625,PV80
15,ant,0.075,PV80
16,spider,0.05,PV80
17,worm,0.375,PV42
18,green_beetle,0.225,PV42
19,ant,0.15,PV42
20,spider,0.1,PV42
21,cockroach,0.1,PV42
22,red_beetle,0.05,PV42
23,worm,0.3125,PV99
24,red_beetle,0.2625,PV99
25,cockroach,0.2625,PV99
26,green_beetle,0.075,PV99
27,ant,0.0625,PV99
28,spider,0.025,PV99
